*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
           ECIs       ECI/mult    Cluster#
    0.479506438    0.479506438           0
    0.282340300    0.070585075           1
    0.102413229    0.025603307           5
    0.138197531    0.017274691           7
   -0.090595032   -0.022648758           8
    0.035229441    0.004403680          11
   -0.423417430   -0.052927179          14
   -0.072019308   -0.004501207          15
   -0.042574943   -0.005321868          16
   -0.035962415   -0.008990604          19
   -0.035081269   -0.004385159          27
    0.033833628    0.004229203          29
    0.112797437    0.007049840          38
   -0.040076747   -0.002504797          39
   -0.054747740   -0.006843468          41
   -0.096159525   -0.006009970          46
   -0.079980675   -0.009997584         115
   -0.071629026   -0.004476814         123
   -0.042317550   -0.002644847         125
   -0.072644823   -0.004540301         131
    0.051055238    0.003190952         137
   -0.033731883   -0.002108243         144
   -0.032350223   -0.004043778         161
