*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
*** the header is irrelevant ***
           ECIs       ECI/mult    Cluster#
    0.425454690    0.425454690           0
    0.154304234    0.038576058           1
   -0.240242751   -0.030030344           3
   -0.037475751   -0.004684469           5
   -0.045497655   -0.005687207           8
   -0.027558728   -0.003444841           9
   -0.030582403   -0.007645601          12
    0.026679404    0.006669851          18
   -0.060789277   -0.003799330          23
    0.006189397    0.000773675          43
   -0.167061275   -0.041765319          47
    0.015074596    0.001884325          54
   -0.015915863   -0.003978966          82
